,Unnamed: 0,energy,Performer_left,valence,time_signature,instrumentalness,tempo,Song_left,SongID,danceability,speechiness,acousticness,liveness,spotify_track_duration_ms,key,Genre,mode,loudness
10,16,0.425,Billie Eilish,0.562,4.0,0.13,135.128,Bad Guy,Bad GuyBillie Eilish,0.701,0.375,0.328,0.1,194087.0,7.0,pop,1.0,-10.965
11,18,0.628,Ariana Grande,0.556,4.0,0.0,191.708,Santa Tell Me,Santa Tell MeAriana Grande,0.506,0.173,0.0545,0.301,204093.0,7.0,pop,1.0,-7.316
12,23,0.682,Sam Smith,0.345,5.0,0.0,110.567,How Do You Sleep?,How Do You Sleep?Sam Smith,0.477,0.0925,0.153,0.0763,202204.0,1.0,pop,0.0,-4.931
13,26,0.459,SHAED,0.498,4.0,0.0,126.803,Trampoline,TrampolineSHAED,0.619,0.0334,0.56,0.13699999999999998,184280.0,7.0,pop,0.0,-5.782
14,27,0.111,Billie Eilish,0.198,4.0,3.97e-05,82.64200000000002,When The Party's Over,When The Party's OverBillie Eilish,0.3670000000000001,0.0972,0.978,0.0897,196077.0,4.0,pop,1.0,-14.084
15,28,0.675,Ed Sheeran,0.8420000000000001,4.0,0.0,101.956,Don't,Don'tEd Sheeran,0.7979999999999999,0.0442,0.0912,0.0894,219946.0,6.0,pop,1.0,-5.041
16,31,0.56,Justin Bieber,0.8540000000000001,4.0,0.0,161.994,Mistletoe,MistletoeJustin Bieber,0.6579999999999999,0.0467,0.498,0.0794,182946.0,6.0,pop,0.0,-9.049
17,32,0.317,Ariana Grande,0.327,4.0,0.0,140.048,7 Rings,7 RingsAriana Grande,0.778,0.334,0.5920000000000001,0.0881,178626.0,1.0,pop,0.0,-10.732
18,33,0.816,Harry Styles,0.557,4.0,0.0,95.39,Watermelon Sugar,Watermelon SugarHarry Styles,0.5479999999999999,0.0465,0.122,0.335,174000.0,0.0,pop,1.0,-4.209
19,34,0.459,SHAED,0.498,4.0,0.0,126.803,Trampoline,TrampolineSHAED,0.619,0.0334,0.56,0.13699999999999998,184280.0,7.0,pop,0.0,-5.782
20,36,0.7709999999999999,Harry Styles,0.569,4.0,7.000000000000001e-06,99.048,Adore You,Adore YouHarry Styles,0.6759999999999999,0.0483,0.0237,0.102,207133.0,8.0,pop,1.0,-3.675
21,38,0.624,Lizzo,0.412,4.0,0.0,158.08700000000005,Truth Hurts,Truth HurtsLizzo,0.715,0.114,0.11,0.123,173325.0,4.0,pop,0.0,-3.0460000000000003
22,40,0.111,Billie Eilish,0.198,4.0,3.97e-05,82.64200000000002,When The Party's Over,When The Party's OverBillie Eilish,0.3670000000000001,0.0972,0.978,0.0897,196077.0,4.0,pop,1.0,-14.084
23,41,0.488,Halsey,0.5329999999999999,4.0,9.11e-06,136.041,Without Me,Without MeHalsey,0.752,0.0705,0.297,0.0936,201660.0,6.0,pop,1.0,-7.05
24,45,0.7040000000000001,Ava Max,0.628,4.0,0.0,133.002,Sweet But Psycho,Sweet But PsychoAva Max,0.7190000000000001,0.0476,0.0691,0.166,187436.0,1.0,pop,1.0,-4.724
25,46,0.618,Wham!,0.861,4.0,0.0,106.856,Last Christmas,Last ChristmasWham!,0.757,0.0282,0.262,0.221,267160.0,11.0,pop,0.0,-7.963999999999999
26,48,0.488,Halsey,0.5329999999999999,4.0,9.11e-06,136.041,Without Me,Without MeHalsey,0.752,0.0705,0.297,0.0936,201660.0,6.0,pop,1.0,-7.05
27,50,0.624,Lizzo,0.412,4.0,0.0,158.08700000000005,Truth Hurts,Truth HurtsLizzo,0.715,0.114,0.11,0.123,173325.0,4.0,pop,0.0,-3.0460000000000003
28,51,0.511,Paul McCartney,0.7709999999999999,4.0,0.0,94.736,Wonderful Christmastime,Wonderful ChristmastimePaul McCartney,0.774,0.0319,0.322,0.0672,227653.0,11.0,pop,1.0,-8.914
29,52,0.463,Ali Gatie,0.397,4.0,0.0,95.971,It's You,It's YouAli Gatie,0.732,0.0287,0.374,0.194,212606.0,11.0,pop,0.0,-6.972
30,53,0.498,Camila Cabello,0.652,4.0,0.00282,98.016,Liar,LiarCamila Cabello,0.74,0.0456,0.0169,0.319,207038.0,11.0,pop,0.0,-6.684
31,56,0.583,Halsey,0.187,4.0,4.48e-05,92.043,Graveyard,GraveyardHalsey,0.667,0.0747,0.231,0.181,181805.0,11.0,pop,0.0,-5.127000000000002
32,57,0.267,Harry Styles,0.0592,4.0,1.46e-06,110.011,Falling,FallingHarry Styles,0.5670000000000001,0.0299,0.8390000000000001,0.08900000000000001,240133.0,4.0,pop,1.0,-6.502000000000002
33,60,0.389,Billie Eilish,0.196,4.0,0.162,120.046,Bury A Friend,Bury A FriendBillie Eilish,0.905,0.332,0.74,0.106,193143.0,8.0,pop,1.0,-14.505
34,62,0.841,Niall Horan,0.392,4.0,0.0,109.034,Nice To Meet Ya,Nice To Meet YaNiall Horan,0.591,0.0304,0.0119,0.395,158805.0,4.0,pop,0.0,-4.351
35,70,0.496,Jonas Brothers,0.8740000000000001,4.0,0.0,94.01,Only Human,Only HumanJonas Brothers,0.795,0.0722,0.108,0.0645,183000.0,0.0,pop,1.0,-5.882999999999999
36,71,0.7040000000000001,Ava Max,0.628,4.0,0.0,133.002,Sweet But Psycho,Sweet But PsychoAva Max,0.7190000000000001,0.0476,0.0691,0.166,187436.0,1.0,pop,1.0,-4.724
37,72,0.618,Wham!,0.861,4.0,0.0,106.856,Last Christmas,Last ChristmasWham!,0.757,0.0282,0.262,0.221,267160.0,11.0,pop,0.0,-7.963999999999999
38,73,0.448,Ed Sheeran,0.168,3.0,0.0,95.05,Perfect,PerfectEd Sheeran,0.599,0.0232,0.163,0.106,263400.0,8.0,pop,1.0,-6.312
39,86,0.8220000000000001,Imagine Dragons,0.28800000000000003,4.0,0.134,167.997,Thunder,ThunderImagine Dragons,0.605,0.0438,0.00671,0.147,187146.0,0.0,pop,1.0,-4.833
40,87,0.444,Billie Eilish,0.569,4.0,0.14300000000000002,185.044,All The Good Girls Go To Hell,All The Good Girls Go To HellBillie Eilish,0.726,0.3720000000000001,0.28300000000000003,0.177,168839.0,8.0,pop,0.0,-8.922
41,89,0.24,Dean Martin,0.701,4.0,2.45e-06,134.005,"Let It Snow, Let It Snow, Let It Snow","Let It Snow, Let It Snow, Let It SnowDean Martin",0.452,0.0351,0.912,0.175,117146.0,1.0,pop,1.0,-14.014
42,92,0.7340000000000001,Jonas Brothers,0.952,4.0,0.0,137.958,Sucker,SuckerJonas Brothers,0.8420000000000001,0.0588,0.0427,0.106,181026.0,1.0,pop,0.0,-5.065
43,93,0.35100000000000003,Billie Eilish,0.282,4.0,9.38e-06,118.028,Wish You Were Gay,Wish You Were GayBillie Eilish,0.853,0.241,0.39,0.752,221543.0,7.0,pop,1.0,-10.198
44,94,0.621,Harry Styles,0.27,4.0,0.0045,101.987,Lights Up,Lights UpHarry Styles,0.575,0.032,0.0392,0.141,172213.0,10.0,pop,0.0,-8.165
45,97,0.264,John Legend,0.331,4.0,0.0,119.93,All Of Me,All Of MeJohn Legend,0.422,0.0322,0.922,0.132,269560.0,8.0,pop,1.0,-7.064
46,99,0.5429999999999999,Taylor Swift,0.453,4.0,1.58e-05,68.53399999999999,Lover,LoverTaylor Swift,0.359,0.0919,0.4920000000000001,0.118,221306.0,7.0,pop,1.0,-7.582000000000002
47,102,0.24,Dean Martin,0.701,4.0,2.45e-06,134.005,"Let It Snow, Let It Snow, Let It Snow","Let It Snow, Let It Snow, Let It SnowDean Martin",0.452,0.0351,0.912,0.175,117146.0,1.0,pop,1.0,-14.014
48,103,0.642,Band-Aid,0.349,4.0,3.33e-05,115.412,Do They Know It's Christmas?,Do They Know It's Christmas?Band-Aid,0.599,0.0363,0.16399999999999998,0.0992,222533.0,0.0,pop,1.0,-6.936
49,106,0.496,Jonas Brothers,0.8740000000000001,4.0,0.0,94.01,Only Human,Only HumanJonas Brothers,0.795,0.0722,0.108,0.0645,183000.0,0.0,pop,1.0,-5.882999999999999
50,107,0.444,Billie Eilish,0.569,4.0,0.14300000000000002,185.044,All The Good Girls Go To Hell,All The Good Girls Go To HellBillie Eilish,0.726,0.3720000000000001,0.28300000000000003,0.177,168839.0,8.0,pop,0.0,-8.922
51,108,0.6709999999999999,Taylor Swift,0.7140000000000001,4.0,0.0,85.02600000000002,You Need To Calm Down,You Need To Calm DownTaylor Swift,0.7709999999999999,0.0553,0.00929,0.0637,171360.0,2.0,pop,1.0,-5.617000000000001
52,109,0.131,Billie Eilish,0.12,4.0,0.004529999999999999,137.446,I Love You,I Love YouBillie Eilish,0.421,0.0382,0.952,0.109,291796.0,0.0,pop,1.0,-18.435
53,112,0.557,James Arthur,0.494,4.0,0.0,85.04299999999998,Say You Won't Let Go,Say You Won't Let GoJames Arthur,0.358,0.059,0.695,0.0902,211466.0,10.0,pop,1.0,-7.398
54,115,0.882,Katy Perry,0.385,4.0,0.0,99.991,Never Really Over,Never Really OverKaty Perry,0.77,0.0602,0.194,0.316,223523.0,8.0,pop,1.0,-4.792
55,116,0.412,Billie Eilish,0.247,3.0,0.0,170.16299999999995,idontwannabeyouanymore,idontwannabeyouanymoreBillie Eilish,0.483,0.0402,0.737,0.116,203569.0,7.0,pop,1.0,-8.461
56,117,0.5329999999999999,Billie Eilish,0.32299999999999995,4.0,0.219,150.455,You Should See Me In A Crown,You Should See Me In A CrownBillie Eilish,0.6779999999999999,0.18600000000000005,0.462,0.139,180952.0,4.0,pop,1.0,-10.485
57,118,0.882,Katy Perry,0.385,4.0,0.0,99.991,Never Really Over,Never Really OverKaty Perry,0.77,0.0602,0.194,0.316,223523.0,8.0,pop,1.0,-4.792
58,119,0.8809999999999999,Mabel,0.234,4.0,3.01e-06,98.994,Don't Call Me Up,Don't Call Me UpMabel,0.674,0.147,0.29600000000000004,0.0793,178480.0,9.0,pop,1.0,-2.853
59,121,0.809,Shawn Mendes,0.8640000000000001,4.0,0.0,123.911,If I Can't Have You,If I Can't Have YouShawn Mendes,0.6920000000000001,0.0602,0.524,0.147,190800.0,2.0,pop,1.0,-4.198
60,126,0.809,Shawn Mendes,0.8640000000000001,4.0,0.0,123.911,If I Can't Have You,If I Can't Have YouShawn Mendes,0.6920000000000001,0.0602,0.524,0.147,190800.0,2.0,pop,1.0,-4.198
61,127,0.8190000000000001,Shawn Mendes,0.747,4.0,0.0,82.695,Treat You Better,Treat You BetterShawn Mendes,0.444,0.341,0.106,0.107,187973.0,10.0,pop,0.0,-4.078
62,128,0.611,Imagine Dragons,0.22,4.0,0.0,100.0,Natural,NaturalImagine Dragons,0.7040000000000001,0.0409,0.217,0.0812,189466.0,2.0,pop,1.0,-6.112
63,132,0.586,Dean Lewis,0.443,4.0,0.0,126.684,Be Alright,Be AlrightDean Lewis,0.5529999999999999,0.0362,0.6970000000000001,0.0813,196373.0,11.0,pop,1.0,-6.319
64,133,0.379,Ed Sheeran,0.201,4.0,0.000464,107.989,Photograph,PhotographEd Sheeran,0.614,0.0476,0.607,0.0986,258986.0,4.0,pop,1.0,-10.48
65,134,0.363,Billie Eilish,0.16899999999999998,4.0,0.0317,144.892,Ocean Eyes,Ocean EyesBillie Eilish,0.511,0.041,0.816,0.084,200379.0,4.0,pop,0.0,-7.65
66,141,0.42,Sam Smith,0.184,4.0,6.39e-05,84.094,Stay With Me,Stay With MeSam Smith,0.418,0.0414,0.588,0.11,172723.0,0.0,pop,1.0,-6.444
67,142,0.8540000000000001,5 Seconds Of Summer,0.152,4.0,0.0,120.274,Youngblood,Youngblood5 Seconds Of Summer,0.596,0.463,0.0169,0.124,203417.0,7.0,pop,0.0,-5.114
68,144,0.838,Harry Styles,0.254,4.0,0.000131,139.863,Golden,GoldenHarry Styles,0.448,0.0557,0.21,0.131,208906.0,4.0,pop,0.0,-5.2570000000000014
69,145,0.452,The Police,0.74,4.0,0.00294,117.401,Every Breath You Take,Every Breath You TakeThe Police,0.82,0.0348,0.5429999999999999,0.0714,253920.0,1.0,pop,1.0,-9.796
70,147,0.363,Billie Eilish,0.16899999999999998,4.0,0.0317,144.892,Ocean Eyes,Ocean EyesBillie Eilish,0.511,0.041,0.816,0.084,200379.0,4.0,pop,0.0,-7.65
71,155,0.7,Dua Lipa,0.608,4.0,1.56e-05,116.073,New Rules,New RulesDua Lipa,0.762,0.0694,0.0026100000000000003,0.153,209320.0,9.0,pop,0.0,-6.021
72,156,0.813,Shawn Mendes,0.969,4.0,0.0,121.998,There's Nothing Holdin' Me Back,There's Nothing Holdin' Me BackShawn Mendes,0.866,0.0554,0.38,0.0779,199440.0,11.0,pop,0.0,-4.063
73,157,0.713,Ariana Grande,0.354,4.0,3.11e-06,121.993,No Tears Left To Cry,No Tears Left To CryAriana Grande,0.6990000000000001,0.0594,0.04,0.294,205920.0,9.0,pop,0.0,-5.5070000000000014
74,159,0.512,Harry Styles,0.411,4.0,0.004529999999999999,95.946,Cherry,CherryHarry Styles,0.53,0.0259,0.615,0.129,259186.0,7.0,pop,1.0,-9.261
75,160,0.544,Dua Lipa,0.51,4.0,0.0,97.028,IDGAF,IDGAFDua Lipa,0.836,0.0943,0.0403,0.0824,217946.0,7.0,pop,1.0,-5.975
76,165,0.4,Khalid,0.34600000000000003,4.0,0.0,135.984,Talk,TalkKhalid,0.901,0.126,0.051,0.0599,197573.0,0.0,pop,1.0,-8.575
77,166,0.173,Calum Scott,0.236,4.0,3.26e-05,112.663,Dancing On My Own,Dancing On My OwnCalum Scott,0.682,0.0314,0.8390000000000001,0.0983,260285.0,1.0,pop,1.0,-8.749
78,167,0.721,NF,0.468,4.0,0.0,148.066,Let You Down,Let You DownNF,0.6559999999999999,0.122,0.298,0.173,212120.0,5.0,pop,0.0,-5.665
79,168,0.505,Lauv,0.419,4.0,2.55e-06,91.97,I Like Me Better,I Like Me BetterLauv,0.752,0.253,0.535,0.104,197436.0,9.0,pop,1.0,-7.621
80,170,0.503,Frank Ocean,0.473,4.0,0.0,110.134,Chanel,ChanelFrank Ocean,0.7759999999999999,0.237,0.8740000000000001,0.112,210285.0,0.0,pop,0.0,-5.732
81,171,0.637,Imagine Dragons,0.0827,4.0,0.0,177.91299999999995,Bad Liar,Bad LiarImagine Dragons,0.383,0.0703,0.0722,0.368,260773.0,3.0,pop,1.0,-6.9929999999999986
82,174,0.385,Ed Sheeran,0.236,4.0,0.0,89.792,Happier,HappierEd Sheeran,0.522,0.0288,0.536,0.135,207520.0,0.0,pop,1.0,-7.355
83,176,0.125,Billie Eilish,0.0528,4.0,0.00207,111.554,Xanny,XannyBillie Eilish,0.521,0.239,0.7509999999999999,0.265,243725.0,9.0,pop,1.0,-17.832
84,177,0.887,Normani,0.8809999999999999,4.0,1.21e-06,170.918,Motivation,MotivationNormani,0.599,0.0984,0.0192,0.3,193837.0,4.0,pop,1.0,-3.967
85,178,0.373,Toto,0.732,4.0,7.950000000000001e-05,92.717,Africa,AfricaToto,0.6709999999999999,0.0323,0.257,0.0481,295893.0,9.0,pop,1.0,-18.064
86,179,0.919,Lizzo,0.535,4.0,0.0,95.982,Good As Hell,Good As HellLizzo,0.682,0.0875,0.256,0.442,159735.0,0.0,pop,0.0,-3.18
87,180,0.902,a-ha,0.8759999999999999,4.0,0.00125,84.412,Take On Me,Take On Mea-ha,0.573,0.054000000000000006,0.018000000000000002,0.0928,225280.0,6.0,pop,0.0,-7.638
88,181,0.485,Sam Smith,0.493,4.0,2.04e-05,82.001,I'm Not The Only One,I'm Not The Only OneSam Smith,0.677,0.0361,0.529,0.0766,239316.0,5.0,pop,1.0,-5.795
89,188,0.68,Taylor Swift,0.4370000000000001,4.0,0.0,134.002,Christmas Tree Farm,Christmas Tree FarmTaylor Swift,0.598,0.0331,0.06,0.324,228026.0,7.0,pop,1.0,-4.505
90,190,0.8859999999999999,Train,0.795,4.0,0.0,97.012,"Hey, Soul Sister","Hey, Soul SisterTrain",0.6729999999999999,0.0431,0.185,0.0826,216773.0,1.0,pop,0.0,-4.44
91,194,0.4,Khalid,0.34600000000000003,4.0,0.0,135.984,Talk,TalkKhalid,0.901,0.126,0.051,0.0599,197573.0,0.0,pop,1.0,-8.575
92,196,0.28,Bruno Mars,0.387,4.0,0.0,72.795,When I Was Your Man,When I Was Your ManBruno Mars,0.612,0.0434,0.932,0.08800000000000001,213826.0,0.0,pop,1.0,-8.648
93,199,0.376,Justin Bieber,0.545,4.0,0.0,102.541,Love Yourself,Love YourselfJustin Bieber,0.607,0.453,0.856,0.285,233720.0,4.0,pop,1.0,-9.954
94,203,0.7120000000000001,Shawn Mendes,0.487,4.0,0.0,140.025,In My Blood,In My BloodShawn Mendes,0.622,0.066,0.0573,0.13,211360.0,5.0,pop,1.0,-7.3210000000000015
95,206,0.7929999999999999,Ariana Grande,0.802,4.0,0.0,102.986,Last Christmas,Last ChristmasAriana Grande,0.677,0.0272,0.127,0.102,203653.0,7.0,pop,1.0,-2.775
96,208,0.428,5 Seconds Of Summer,0.618,4.0,0.0,175.813,Easier,Easier5 Seconds Of Summer,0.505,0.221,0.489,0.0977,157492.0,5.0,pop,1.0,-5.604
97,209,0.305,Billie Eilish,0.563,4.0,0.000169,100.029,My Strange Addiction,My Strange AddictionBillie Eilish,0.939,0.354,0.35,0.105,179889.0,8.0,pop,0.0,-10.952
98,210,0.831,Jose Feliciano,0.963,4.0,0.0,148.82,Feliz Navidad,Feliz NavidadJose Feliciano,0.512,0.0383,0.552,0.336,182066.0,2.0,pop,1.0,-9.004
99,211,0.613,Charlie Puth,0.797,4.0,2.33e-05,100.066,Attention,AttentionCharlie Puth,0.775,0.0542,0.109,0.134,208786.0,3.0,pop,0.0,-4.586
100,212,0.655,Imagine Dragons,0.556,4.0,0.0,134.945,Whatever It Takes,Whatever It TakesImagine Dragons,0.672,0.0311,0.0362,0.117,201240.0,10.0,pop,0.0,-5.021
101,213,0.521,Harry Styles,0.457,3.0,0.371,140.026,She,SheHarry Styles,0.535,0.0272,0.000532,0.19,362653.0,0.0,pop,1.0,-5.942
102,217,0.56,Bruno Mars,0.86,4.0,0.0,134.066,That's What I Like,That's What I LikeBruno Mars,0.853,0.0406,0.013,0.0944,206693.0,1.0,pop,1.0,-4.961
103,220,0.812,Kelly Clarkson,0.6890000000000001,4.0,1.99e-05,159.876,Underneath The Tree,Underneath The TreeKelly Clarkson,0.509,0.0537,0.0013,0.214,229640.0,8.0,pop,1.0,-5.438
104,225,0.423,Billie Eilish,0.5720000000000001,4.0,0.469,120.02,Ilomilo,IlomiloBillie Eilish,0.855,0.0585,0.7240000000000001,0.0896,156370.0,5.0,pop,0.0,-15.044
105,226,0.711,Eurythmics,0.875,4.0,0.0,125.135,Sweet Dreams (Are Made Of This),Sweet Dreams (Are Made Of This)Eurythmics,0.6920000000000001,0.0317,0.227,0.12,216933.0,0.0,pop,0.0,-7.497999999999998
106,228,0.795,Portugal. The Man,0.754,4.0,0.000113,79.028,Feel It Still,Feel It StillPortugal. The Man,0.8009999999999999,0.0504,0.0417,0.0717,163253.0,1.0,pop,0.0,-5.115
107,229,0.0561,Billie Eilish,0.08199999999999999,3.0,0.00384,79.764,Listen Before I Go,Listen Before I GoBillie Eilish,0.319,0.045,0.935,0.388,242652.0,0.0,pop,1.0,-23.023000000000003
108,232,0.889,Lizzo,0.843,4.0,0.0,119.93,Juice,JuiceLizzo,0.767,0.0963,0.00611,0.402,195144.0,7.0,pop,1.0,-2.988
109,236,0.831,Train,0.5720000000000001,4.0,0.0,81.531,Shake Up Christmas,Shake Up ChristmasTrain,0.458,0.0654,0.0031,0.337,232213.0,0.0,pop,1.0,-2.187
110,238,0.502,Lady Gaga,0.29600000000000004,4.0,0.0,129.976,Always Remember Us This Way,Always Remember Us This WayLady Gaga,0.5529999999999999,0.0409,0.299,0.764,210200.0,0.0,pop,1.0,-5.972
111,239,0.4920000000000001,XXXTENTACION,0.374,4.0,0.0313,143.983,BAD!,BAD!XXXTENTACION,0.78,0.0671,0.0643,0.174,150475.0,5.0,pop,0.0,-3.4
112,240,0.835,Avicii,0.654,4.0,0.0,125.983,The Days,The DaysAvicii,0.527,0.0433,0.0166,0.249,176658.0,6.0,pop,1.0,-5.297999999999999
113,241,0.866,WALK THE MOON,0.619,4.0,0.0,128.03799999999998,Shut Up And Dance,Shut Up And DanceWALK THE MOON,0.578,0.0619,0.00701,0.257,199080.0,1.0,pop,1.0,-3.804
114,242,0.547,P!nk Featuring Nate Ruess,0.441,4.0,0.000302,95.002,Just Give Me A Reason,Just Give Me A ReasonP!nk Featuring Nate Ruess,0.778,0.0489,0.34600000000000003,0.132,242733.0,2.0,pop,1.0,-7.273
115,245,0.7240000000000001,Selena Gomez,0.508,4.0,1.68e-06,102.061,Back To You,Back To YouSelena Gomez,0.601,0.0486,0.0945,0.12,207904.0,6.0,pop,1.0,-4.856
116,246,0.789,Bazzi,0.7170000000000001,4.0,2.77e-06,142.929,Mine,MineBazzi,0.71,0.0722,0.0161,0.451,131064.0,4.0,pop,1.0,-3.874
117,247,0.6940000000000001,Bebe Rexha,0.21600000000000005,4.0,0.0,97.005,I'm A Mess,I'm A MessBebe Rexha,0.63,0.0253,0.00281,0.0719,195519.0,11.0,pop,0.0,-6.2570000000000014
118,250,0.889,Lizzo,0.843,4.0,0.0,119.93,Juice,JuiceLizzo,0.767,0.0963,0.00611,0.402,195144.0,7.0,pop,1.0,-2.988
119,251,0.632,Rihanna,0.369,3.0,1.3e-05,171.92,Love On The Brain,Love On The BrainRihanna,0.503,0.0492,0.0777,0.0758,224000.0,4.0,pop,0.0,-4.854
120,252,0.654,Michael Jackson,0.847,4.0,0.0158,117.046,Billie Jean,Billie JeanMichael Jackson,0.92,0.0401,0.0236,0.0359,293826.0,11.0,pop,0.0,-3.051
121,258,0.552,Khalid,0.112,4.0,0.334,97.949,Better,BetterKhalid,0.596,0.097,0.0765,0.104,229320.0,0.0,pop,0.0,-10.278
122,259,0.5379999999999999,Miley Cyrus,0.28800000000000003,4.0,2.83e-06,148.05100000000004,Slide Away,Slide AwayMiley Cyrus,0.53,0.0335,0.17,0.248,233654.0,5.0,pop,1.0,-6.6720000000000015
123,261,0.396,twenty one pilots,0.5479999999999999,4.0,3.58e-05,90.024,Heathens,Heathenstwenty one pilots,0.732,0.0286,0.0841,0.105,195920.0,4.0,pop,0.0,-9.348
124,262,0.522,Elton John,0.36,4.0,1.44e-05,136.637,Rocket Man,Rocket ManElton John,0.602,0.0285,0.386,0.0941,281613.0,10.0,pop,1.0,-9.031
125,268,0.8240000000000001,Shakira Featuring Wyclef Jean,0.7559999999999999,4.0,0.0,100.024,Hips Don't Lie,Hips Don't LieShakira Featuring Wyclef Jean,0.778,0.0712,0.284,0.405,218093.0,10.0,pop,0.0,-5.892
126,271,0.8240000000000001,Whitney Houston,0.867,4.0,0.000307,118.814,I Wanna Dance With Somebody (Who Loves Me),I Wanna Dance With Somebody (Who Loves Me)Whitney Houston,0.7090000000000001,0.0453,0.207,0.0888,291293.0,1.0,pop,1.0,-8.824
127,272,0.338,Electric Light Orchestra,0.477,4.0,3.72e-06,177.78400000000005,Mr. Blue Sky,Mr. Blue SkyElectric Light Orchestra,0.388,0.0328,0.652,0.248,303373.0,10.0,pop,1.0,-10.054
128,273,0.608,Katy Perry,0.56,4.0,0.0,137.494,Cozy Little Christmas,Cozy Little ChristmasKaty Perry,0.774,0.128,0.128,0.0895,182520.0,7.0,pop,1.0,-6.2639999999999985
129,274,0.765,DNCE,0.917,4.0,0.0,119.001,Cake By The Ocean,Cake By The OceanDNCE,0.774,0.0502,0.156,0.0373,219146.0,4.0,pop,0.0,-5.439
130,275,0.667,Maroon 5,0.51,4.0,0.0,102.002,She Will Be Loved,She Will Be LovedMaroon 5,0.6409999999999999,0.0254,0.249,0.0987,259453.0,0.0,pop,0.0,-5.505
131,276,0.64,Demi Lovato,0.887,4.0,0.0,144.077,Sorry Not Sorry,Sorry Not SorryDemi Lovato,0.705,0.225,0.0237,0.262,203760.0,11.0,pop,0.0,-6.928
132,279,0.769,The Weeknd,0.59,4.0,0.0,107.939,Can't Feel My Face,Can't Feel My FaceThe Weeknd,0.705,0.0426,0.112,0.105,213520.0,9.0,pop,0.0,-5.526
133,281,0.4320000000000001,U2,0.107,4.0,0.369,110.196,With or Without You,With or Without YouU2,0.5429999999999999,0.0288,0.000207,0.146,295515.0,2.0,pop,1.0,-11.832
134,283,0.632,Lauren Daigle,0.0791,4.0,0.0,147.892,You Say,You SayLauren Daigle,0.486,0.0344,0.682,0.0869,274693.0,5.0,pop,1.0,-6.89
135,287,0.5479999999999999,Alicia Keys,0.166,4.0,8.68e-06,90.042,No One,No OneAlicia Keys,0.644,0.0286,0.0209,0.134,253813.0,1.0,pop,0.0,-5.416
136,288,0.691,Dennis Lloyd,0.0796,4.0,9.78e-06,99.976,Nevermind,NevermindDennis Lloyd,0.5920000000000001,0.196,0.156,0.418,156600.0,3.0,pop,1.0,-8.354
137,289,0.473,Lukas Graham,0.34,4.0,0.0,119.992,7 Years,7 YearsLukas Graham,0.765,0.0514,0.287,0.391,237300.0,10.0,pop,1.0,-5.829
138,295,0.662,Shawn Mendes,0.35600000000000004,4.0,0.0,148.128,Mercy,MercyShawn Mendes,0.555,0.0827,0.125,0.111,208733.0,11.0,pop,0.0,-4.952
139,296,0.593,Ariana Grande,0.104,4.0,1.65e-06,125.026,One Last Time,One Last TimeAriana Grande,0.628,0.0323,0.093,0.096,197266.0,8.0,pop,1.0,-5.0360000000000005
140,297,0.428,5 Seconds Of Summer,0.618,4.0,0.0,175.813,Easier,Easier5 Seconds Of Summer,0.505,0.221,0.489,0.0977,157492.0,5.0,pop,1.0,-5.604
